Date,Open,High,Low,Close,Volume
05-14-2026,87.62,88.5,86.65,86.94,"2,94,08,301"
05-13-2026,86.57,88.62,86.28,87.56,"3,08,23,500"
05-12-2026,85.91,89.17,85.81,87.66,"4,35,56,602"
05-11-2026,86.53,87.34,85.1,85.45,"4,05,56,461"
05-08-2026,87.71,88.04,87.21,87.49,"3,62,15,113"
05-07-2026,88.2,89.4,88.13,88.25,"3,06,27,600"
05-06-2026,87.15,88.55,86.72,88.27,"4,19,32,441"
05-05-2026,91.18,91.28,87.57,87.89,"5,19,61,340"
05-04-2026,92.1,92.33,90.89,91.02,"2,59,28,820"
05-01-2026,94.42,94.7,91.9,92.06,"3,04,06,881"
04-30-2026,91.35,94.22,90.77,93.61,"4,09,23,008"
04-29-2026,91.23,92.86,90.86,92.12,"2,61,22,090"
04-28-2026,91.5,92.34,90.02,92.27,"3,34,18,129"
04-27-2026,92.05,92.84,91.3,91.37,"2,97,07,439"
04-24-2026,92.57,93.28,91.8,92.44,"3,25,53,180"
04-23-2026,94.06,94.64,92.07,92.82,"3,68,51,672"
04-22-2026,93.06,93.85,92.77,93.24,"3,36,94,352"
04-21-2026,94,94.65,92.37,92.58,"6,19,62,281"
04-20-2026,97.14,97.6,93.54,94.83,"6,32,98,262"
04-17-2026,96.37,98.74,95.1,97.31,"12,59,58,703"
04-16-2026,107.47,108.95,106.62,107.79,"6,49,28,246"
04-15-2026,105.98,107.85,105.04,107.71,"3,80,23,680"
04-14-2026,103.12,106.57,103.04,106.28,"4,05,34,871"
04-13-2026,103.03,103.67,102.06,103.16,"2,60,42,801"
04-10-2026,102.47,103.08,101.46,103.01,"2,57,69,910"
04-09-2026,99.63,102.34,99.08,102.05,"3,50,87,762"
04-08-2026,100.32,100.4,97.44,99.39,"3,09,57,619"
04-07-2026,98.55,99.88,98.25,98.82,"2,50,16,721"
04-06-2026,100.96,102.69,97.97,98.93,"3,70,29,328"
04-02-2026,95.27,98.71,95.17,98.66,"3,70,68,020"
04-01-2026,96.47,97.2,94.26,95.55,"3,04,39,311"
03-31-2026,93.03,96.26,93.03,96.15,"5,42,69,961"
03-30-2026,92.75,94.49,92.22,92.97,"3,23,75,141"
03-27-2026,94.57,95.58,92.74,93.43,"4,45,90,672"
03-26-2026,91.52,95.86,91.01,93.32,"5,95,22,031"
03-25-2026,91.71,92.52,91.24,92.28,"2,95,45,631"
03-24-2026,92.79,93.74,90.82,90.92,"2,89,38,029"
03-23-2026,92.04,93.98,91.86,93.38,"3,43,15,871"
03-20-2026,91.31,91.88,90.69,91.82,"6,16,78,008"
03-19-2026,94.31,95.75,90.78,91.74,"4,01,69,246"
03-18-2026,94.45,95.34,93.61,94.7,"2,78,78,320"
03-17-2026,95.3,96.34,94.01,94.36,"2,64,34,500"
03-16-2026,95.58,96.1,94.36,95.2,"3,49,31,832"
03-13-2026,94.64,95.68,94.24,95.31,"2,98,76,660"
03-12-2026,94.86,95.4,93.87,94.31,"3,42,06,859"
03-11-2026,97.41,98,94.69,94.89,"3,39,62,859"
03-10-2026,97.81,98.49,96.29,96.94,"4,10,27,160"
03-09-2026,97.7,98.94,96.58,98.32,"4,85,89,008"
03-06-2026,99.33,99.88,97.4,99.02,"4,11,96,289"
03-05-2026,98.5,100.19,98.1,99.17,"5,34,03,047"
03-04-2026,97.11,99.75,96.99,98.66,"5,26,04,273"
03-03-2026,96.01,98.46,95.33,97.7,"5,91,49,000"
03-02-2026,95.26,98.07,95.2,97.09,"7,99,15,359"
02-27-2026,94.3,96.75,90.58,96.24,"20,07,67,016"
02-26-2026,83.2,86.5,82.8,84.59,"8,56,42,484"
02-25-2026,79.43,83.12,79.25,82.7,"6,93,19,328"
02-24-2026,75.73,78.12,75.21,78.04,"3,30,79,059"
02-23-2026,77.79,77.83,75.01,76.02,"3,83,63,020"
02-20-2026,76.61,78.85,76.4,78.67,"3,24,11,320"
02-19-2026,77.75,78.7,76.59,77,"3,01,39,199"
02-18-2026,77.32,78.32,76.28,77.99,"2,98,83,109"
02-17-2026,76.92,77.87,75.3,77,"3,59,61,512"
02-13-2026,76.14,77.18,75.53,76.87,"4,22,92,078"
02-12-2026,79.11,79.15,75.23,75.86,"7,35,16,070"
02-11-2026,81.96,82.48,79.45,79.62,"4,08,40,273"
02-10-2026,82.72,84.66,82.09,82.21,"4,35,95,793"
02-09-2026,82.18,82.21,79.87,81.47,"4,22,00,207"
02-06-2026,81.02,82.49,80.65,82.2,"4,61,54,059"
02-05-2026,81.49,83.3,80.54,80.87,"5,48,05,688"
02-04-2026,79.99,81.44,79.23,80.16,"4,89,63,238"
02-03-2026,82.23,82.45,79.62,79.94,"4,97,89,039"
02-02-2026,83.53,85.27,82.72,82.76,"4,14,45,246"
01-30-2026,83.1,84.06,82.78,83.49,"4,57,55,031"
01-29-2026,84.31,84.38,82.35,83.16,"4,22,78,102"
01-28-2026,85.63,86.47,84.3,84.64,"3,77,62,609"
01-27-2026,85.28,85.6,83.88,85.58,"3,77,90,832"
01-26-2026,86.92,86.94,85.35,85.7,"4,09,41,879"
01-23-2026,83.43,86.3,83.28,86.12,"6,45,20,379"
01-22-2026,85.02,85.1,82.98,83.54,"6,91,13,297"
01-21-2026,82.52,86,81.93,85.36,"12,79,40,703"
01-20-2026,88.97,89.9,87.02,87.26,"10,97,29,695"
01-16-2026,88.34,88.51,87.78,88,"4,81,30,500"
01-15-2026,89.02,89.89,87.82,88.05,"3,69,45,059"
01-14-2026,91.24,91.58,87.95,88.55,"4,97,37,699"
01-13-2026,89.44,91.15,89.07,90.32,"4,52,21,102"
01-12-2026,89.69,90.34,89.33,89.41,"3,62,90,609"
01-09-2026,90.03,90.05,88.32,89.46,"5,55,79,520"
01-08-2026,90.45,91.25,89.58,90.53,"4,00,68,672"
01-07-2026,91.56,92.42,90.06,90.73,"3,65,25,738"
01-06-2026,91.54,91.64,89.74,90.65,"4,33,30,969"
01-05-2026,90.92,92.63,90.84,91.46,"3,91,83,320"
01-02-2026,94.13,94.13,90.81,90.99,"4,11,55,398"
12-31-2025,93.6,94.31,93.2,93.76,"2,34,95,189"
12-30-2025,93.52,93.99,93.34,93.78,"2,34,22,029"
12-29-2025,93.99,94.97,93.63,94.15,"2,44,93,740"
12-26-2025,93.48,94.69,93.27,94.47,"2,20,68,279"
12-24-2025,93.11,93.68,92.67,93.64,"1,24,27,900"
12-23-2025,93.4,93.81,91.33,93.5,"2,58,96,230"
12-22-2025,94.71,94.71,92.91,93.23,"3,94,84,770"
12-19-2025,93.57,95.54,93.45,94.39,"7,89,90,148"
12-18-2025,95.02,95.81,93.59,94,"3,72,44,727"
12-17-2025,95.98,97.33,94.46,94.79,"5,04,72,781"
12-16-2025,93.88,94.93,93.32,94.57,"3,42,64,992"
12-15-2025,96.02,96.37,93.53,93.77,"4,00,16,461"
12-12-2025,95.5,96.92,94.65,95.19,"4,93,23,121"
12-11-2025,93.9,94.82,92.76,94.09,"4,39,49,008"
12-10-2025,96.74,96.97,92.35,92.71,"7,41,29,273"
12-09-2025,97.03,97.24,95.45,96.71,"5,17,45,578"
12-08-2025,99.87,99.89,95.3,96.79,"10,09,06,305"
12-05-2025,98.78,104.79,97.74,100.24,"13,33,63,594"
12-04-2025,103.57,103.8,101.77,103.22,"5,17,79,141"
12-03-2025,106.59,106.87,102.03,103.96,"5,35,93,398"
12-02-2025,109.21,109.73,107.52,109.35,"2,57,62,980"
12-01-2025,106.51,109.34,106.31,109.13,"2,40,52,900"
11-28-2025,106.44,107.94,106.24,107.58,"1,50,11,400"
11-26-2025,105.74,106.95,105.22,106.14,"2,79,51,010"
11-25-2025,106.12,106.3,103.82,104.4,"3,51,22,559"
11-24-2025,104.25,108.04,103.32,106.97,"6,29,18,289"
11-21-2025,105.13,106.53,103.81,104.31,"4,12,32,688"
11-20-2025,111,111.1,105.39,105.67,"3,69,18,551"
11-19-2025,113,113.34,108.61,110,"3,18,68,090"
11-18-2025,110.29,115.25,109.2,114.09,"4,34,40,566"
11-17-2025,110.75,111.85,109.55,110.29,"2,60,82,730"
11-14-2025,114.27,114.27,110.72,111.22,"4,76,07,130"
11-13-2025,115.85,116.73,114.57,115.42,"4,01,43,590"
11-12-2025,113.82,116.43,112.83,115.75,"3,92,20,570"
11-11-2025,111.76,113.92,111.28,113.64,"2,79,65,940"
11-10-2025,110.67,112.82,110.41,112.01,"3,69,29,000"
11-07-2025,109.42,110.82,108.75,110.37,"4,41,25,340"
11-06-2025,109.46,110.37,108.51,109.7,"3,65,31,700"
11-05-2025,108.5,110.09,107.34,109.85,"3,55,39,170"
11-04-2025,110,110.46,108.67,109.3,"3,87,17,800"
11-03-2025,113.32,113.35,107.52,110.01,"5,86,34,389"
10-31-2025,110.54,113.49,110.2,111.89,"6,86,64,999"
10-30-2025,109.44,110.62,108.81,108.9,"4,15,80,990"
10-29-2025,109.98,110.86,109.6,110.04,"3,39,94,870"
10-28-2025,109.4,111.7,109.3,110.25,"4,02,09,010"
10-27-2025,110.07,110.23,108.73,109.46,"4,69,11,140"
10-24-2025,111.1,111.45,109.44,109.47,"6,02,80,249"
10-23-2025,112.69,112.78,109.97,111.36,"6,84,97,219"
10-22-2025,114.29,115.76,111.25,111.64,"14,78,90,309"
10-21-2025,124.28,124.86,123.18,124.14,"6,50,82,339"
10-20-2025,120.79,124.78,120.69,123.86,"3,98,62,350"
10-17-2025,118.36,120.31,117.9,119.94,"2,95,71,010"
10-16-2025,121.22,121.67,117.6,118.36,"2,83,26,190"
10-15-2025,121.3,121.96,120.16,120.33,"2,02,51,940"
10-14-2025,121.48,122.43,120.31,121.54,"2,36,24,460"
10-13-2025,122.14,123.11,120.68,121.9,"2,46,07,830"
10-10-2025,122.9,124.7,121.91,122.01,"4,27,97,760"
10-09-2025,121.43,123.75,121.18,123.11,"2,82,40,770"
10-08-2025,119.71,121.74,119.2,121.43,"2,85,13,530"
10-07-2025,117.78,120.14,117.75,119.11,"3,30,90,940"
10-06-2025,116.04,116.36,114.55,116.33,"2,96,85,960"
10-03-2025,116.5,116.8,114.32,115.33,"3,13,73,650"
10-02-2025,116.15,116.33,113.4,116.25,"4,68,54,670"
10-01-2025,117.55,117.91,116.32,117.09,"4,11,02,210"
09-30-2025,120.64,120.85,117.8,119.89,"3,83,03,040"
09-29-2025,120.5,122.45,118.75,120.64,"3,03,31,740"
09-26-2025,120.54,121.4,120,121.06,"1,94,49,570"
09-25-2025,120.31,121.68,119.15,120.82,"1,99,77,830"
09-24-2025,121.86,122.15,119.42,120.4,"2,77,31,270"
09-23-2025,122.73,122.78,120.85,121.85,"2,49,91,460"
09-22-2025,122.19,122.98,121.42,122.74,"2,54,68,140"
09-19-2025,121.86,123,120.81,122.7,"4,94,75,900"
09-18-2025,122.08,123.3,120.55,120.78,"3,16,91,050"
09-17-2025,122.1,123.39,120.66,122.85,"3,45,97,960"
09-16-2025,120.56,120.9,119.73,120.05,"2,40,46,860"
09-15-2025,118.84,120.72,117.32,120.23,"2,90,92,770"
09-12-2025,120.31,121.18,118.24,118.84,"3,78,49,440"
09-11-2025,125.1,125.34,119.2,120.35,"5,68,22,859"
09-10-2025,126.4,126.7,124.64,124.77,"2,70,10,150"
09-09-2025,124.67,126.57,124.67,126.33,"2,21,96,550"
09-08-2025,124.85,125.2,123.2,124.48,"1,91,50,530"
09-05-2025,126,126.71,123.9,124.38,"2,37,96,730"
09-04-2025,122.32,125.75,122.31,125.75,"3,02,35,060"
09-03-2025,120.51,122.7,120.34,122.62,"2,47,14,950"
09-02-2025,119.7,121.54,118.28,121.41,"2,30,32,690"
08-29-2025,122.8,122.88,120.12,120.83,"3,20,98,170"
08-28-2025,122.28,123.79,121.43,123.15,"1,95,03,360"
08-27-2025,122.36,122.92,121.3,122.35,"1,66,45,260"
08-26-2025,122.02,123.15,121.22,122.61,"1,98,57,140"
08-25-2025,120.17,123.38,119.9,121.81,"2,81,20,360"
08-22-2025,120.89,121.36,119.82,120.47,"3,12,81,330"
08-21-2025,121.14,122.14,119.76,120.62,"2,04,71,780"
08-20-2025,121.8,122.3,119.33,121.39,"2,43,43,980"
08-19-2025,124.02,124.1,119.28,121.42,"3,70,77,310"
08-18-2025,123.56,125.12,123.55,124.51,"2,11,10,870"
08-15-2025,123.4,124.69,122.79,123.9,"2,76,78,040"
08-14-2025,120.99,124.41,120.7,123.06,"3,90,46,680"
08-13-2025,123.4,123.71,120.3,120.44,"2,76,23,550"
08-12-2025,122.5,123.2,120.65,122.53,"2,28,26,270"
08-11-2025,121.4,122.31,120.19,121.83,"2,45,56,480"
08-08-2025,118.32,121.41,118.04,121.16,"3,81,66,890"
08-07-2025,118.18,119.12,116.82,118.04,"2,62,83,210"
08-06-2025,115.35,118.14,115.19,117.85,"3,36,21,610"
08-05-2025,117.1,117.17,114.47,114.79,"2,66,07,350"
08-04-2025,116.77,117.7,116.26,117.1,"2,24,47,020"
08-01-2025,116.3,117.85,115.29,115.86,"3,89,09,500"
07-31-2025,118.48,119,115.77,115.94,"3,71,29,490"
07-30-2025,116.86,118.49,116.61,118.42,"2,92,27,310"
07-29-2025,117.9,117.96,116.33,116.87,"2,75,24,890"
07-28-2025,118.12,119.78,116.85,117.46,"3,44,69,580"
07-25-2025,117.84,118.73,117.44,118.05,"2,62,92,600"
07-24-2025,117.78,118.35,116.27,118.08,"3,84,55,700"
07-23-2025,118.98,119.26,117.36,117.68,"4,50,42,640"
07-22-2025,123.04,123.24,118.75,119.01,"5,06,29,699"
07-21-2025,120.6,123.71,119.8,123.33,"5,62,75,909"
07-18-2025,124.2,124.65,120.1,120.92,"10,69,33,099"
07-17-2025,125.3,127.75,124.48,127.42,"6,46,98,769"
07-16-2025,126.17,127.1,124.98,125.03,"3,22,70,220"
07-15-2025,126.2,127.12,124.32,126.03,"2,80,17,310"
07-14-2025,124.49,127.05,124,126.2,"2,78,10,480"
07-11-2025,125.98,126.1,123.13,124.51,"3,95,71,500"
07-10-2025,128.55,128.96,124.6,125.06,"4,23,64,940"
07-09-2025,127.4,128.83,126.62,128.83,"2,38,44,770"
07-08-2025,129.09,129.33,126,127.53,"3,29,25,250"
07-07-2025,129.5,129.5,127.6,128.96,"2,27,37,370"
07-03-2025,129.2,130.23,127.98,129.72,"2,00,62,240"
07-02-2025,129.7,130,127.16,128.49,"3,04,88,010"
07-01-2025,133.82,133.88,128.22,129.36,"4,99,35,670"
06-30-2025,133.1,134.12,132.12,133.91,"3,28,29,080"
06-27-2025,130.69,133.13,130.1,132.31,"4,07,08,570"
06-26-2025,128,130.73,128,130.67,"2,60,58,700"
06-25-2025,128.68,129.8,127.38,127.53,"2,14,65,100"
06-24-2025,126.05,128.26,125.5,127.91,"2,66,33,070"
06-23-2025,123.8,125.48,121.5,125.35,"2,66,73,180"
06-20-2025,123.45,124.85,122.43,123.14,"5,34,81,929"
06-18-2025,123,124.2,122.05,122.23,"2,28,10,470"
06-17-2025,122,123.24,121.61,122.07,"1,89,21,260"
06-16-2025,121.22,122.63,121.22,122.54,"2,11,27,970"
06-13-2025,120.66,122.06,120.19,121.22,"2,21,02,530"
06-12-2025,122.26,123,121.2,121.5,"2,08,46,020"
06-11-2025,120.26,122.83,119.6,121.99,"2,38,22,800"
06-10-2025,122.75,122.75,118.06,120.36,"4,45,44,470"
06-09-2025,123.89,123.89,122.16,122.45,"2,40,31,170"
06-06-2025,125.94,126,123.56,124.15,"2,55,69,560"
06-05-2025,124.06,126.28,123.73,125.05,"2,82,17,970"
06-04-2025,122.07,124.26,121.99,123.97,"2,35,93,810"
06-03-2025,121.99,122.96,121.12,121.79,"2,36,37,620"
06-02-2025,120.12,121.94,119.63,121.9,"2,29,42,160"
05-30-2025,119.83,121.18,118.09,120.72,"4,69,67,560"
05-29-2025,120.8,120.9,117.63,118.49,"3,30,30,790"
05-28-2025,121.03,121.59,120.6,120.86,"1,85,58,500"
05-27-2025,119.53,121.18,119.31,121.16,"2,92,04,690"
05-23-2025,118.4,119.15,117.94,118.54,"2,18,64,830"
05-22-2025,119.24,119.88,118.72,118.8,"1,86,15,880"
05-21-2025,118.65,121.12,118.65,119.46,"2,97,66,100"
05-20-2025,118.68,119.3,117.9,119.2,"2,13,30,660"
05-19-2025,117.36,119.16,117.17,119.16,"2,85,34,150"
05-16-2025,119.31,119.65,117.94,119.15,"4,69,83,530"
05-15-2025,114.77,118.78,114.76,117.8,"4,46,40,410"
05-14-2025,112.96,115.29,112.84,115.1,"3,91,01,470"
05-13-2025,111.45,114.79,110.63,113.84,"3,99,78,690"
05-12-2025,112.43,113,110.29,111,"6,47,90,789"
05-09-2025,114.71,115.1,113.32,114.02,"2,56,96,330"
05-08-2025,116.16,116.23,113.92,114.44,"3,76,08,720"
05-07-2025,113.92,116.4,113.8,115.54,"4,35,23,940"
05-06-2025,112.94,114.77,112.64,113.77,"3,25,66,820"
05-05-2025,111.48,114.4,110.7,113.41,"5,66,23,169"
05-02-2025,113.67,115.94,113.33,115.65,"3,77,42,820"
05-01-2025,112.25,114.24,111.18,113.35,"3,49,94,970"
04-30-2025,111.27,113.32,110.11,113.17,"4,26,66,760"
04-29-2025,110.39,112.78,109.55,112.56,"3,77,73,290"
04-28-2025,110,111.4,108.26,111.04,"3,83,10,880"
04-25-2025,109.7,110.68,109.1,110.15,"3,95,00,080"
04-24-2025,104.8,110.1,104.7,109.69,"6,38,18,959"
04-23-2025,104.72,106.13,103.2,104.96,"6,47,18,759"
04-22-2025,100.53,106.5,100.45,104.03,"9,36,88,729"
04-21-2025,98.44,101.9,97.31,98.79,"9,77,57,469"
04-17-2025,96.9,98.47,95.6,97.3,"8,89,37,349"
04-16-2025,97.63,98.12,94.92,96.16,"6,06,61,129"
04-15-2025,95,99.35,94.8,97.63,"7,71,19,809"
04-14-2025,93.27,94.9,91.95,93.13,"4,03,58,950"
04-11-2025,92,94.49,90.67,91.83,"4,07,36,380"
04-10-2025,93.19,94.12,89.4,92.12,"5,12,97,549"
04-09-2025,85.59,95.14,85.44,94.55,"7,49,79,739"
04-08-2025,91.24,92.24,85.77,87.04,"5,62,53,819"
04-07-2025,82.78,90.67,82.11,86.78,"6,65,68,229"
04-04-2025,89.65,90.66,85.39,85.59,"6,79,88,059"
04-03-2025,90.18,94.66,90.05,91.71,"5,86,46,219"
04-02-2025,92.3,94.95,91.61,93.55,"3,25,68,860"
04-01-2025,92.75,93.23,91.15,92.84,"3,51,99,560"
03-31-2025,92.05,93.45,90.06,93.25,"4,63,40,750"
03-28-2025,97.2,97.5,92.92,93.39,"4,42,27,170"
03-27-2025,97.42,98.9,96.64,97.67,"3,04,72,370"
03-26-2025,99.38,99.68,96.63,97.07,"3,53,47,070"
03-25-2025,97.82,99.87,97.71,99.73,"3,78,22,450"
03-24-2025,96.97,97.7,95.16,97.2,"4,67,78,710"
03-21-2025,94.16,96.37,94.1,96.03,"5,90,54,289"
03-20-2025,95,96.7,94.55,95.08,"4,46,63,050"
03-19-2025,93.58,96.8,92.4,95.95,"6,66,23,609"
03-18-2025,94,94.82,91.63,93,"6,00,93,999"
03-17-2025,94,96.76,93.44,95,"7,54,31,459"
03-14-2025,90.15,91.96,90.1,91.8,"5,20,06,839"
03-13-2025,91.3,92.19,88.75,89.02,"5,00,16,979"
03-12-2025,91.46,92.72,90.1,91.97,"6,86,58,369"
03-11-2025,86.74,91.07,86.6,89.51,"7,39,89,339"
03-10-2025,87.51,88.13,85.45,86.67,"6,99,53,089"
03-07-2025,89.76,90.49,85.81,89.11,"7,73,74,879"
03-06-2025,97.3,97.37,89.9,90.64,"7,85,25,599"
03-05-2025,97.36,99.56,96.95,99.09,"3,80,79,350"
03-04-2025,97.16,98.63,94.82,97.26,"4,39,28,140"
03-03-2025,98.3,99.49,96.48,97.37,"3,90,74,470"
02-28-2025,96.96,98.23,95.82,98.06,"4,71,74,090"
02-27-2025,99.5,100.07,96.18,96.31,"3,76,65,660"
02-26-2025,97.76,100.09,97.69,99.01,"3,39,72,050"
02-25-2025,98.94,99.44,95.5,97.72,"4,73,83,040"
02-24-2025,100.8,101.52,98.45,98.85,"4,42,62,270"
02-21-2025,102.94,103.24,99.94,100.32,"3,73,87,100"
02-20-2025,104.2,104.5,101.56,102.45,"3,11,18,310"
02-19-2025,103.52,104.5,102.45,104.33,"2,60,00,480"
02-18-2025,106,106.2,102.37,103.59,"4,22,93,390"
02-14-2025,104.5,106.45,104.17,105.86,"3,14,54,300"
02-13-2025,102.66,104.6,102.51,104.37,"3,47,60,680"
02-12-2025,100.55,102.77,99.83,102.73,"3,38,89,660"
02-11-2025,102.08,102.27,100.3,100.81,"3,33,17,970"
02-10-2025,102.31,103.29,101.59,102.76,"3,29,65,660"
02-07-2025,101.7,102.78,100.57,101.39,"3,21,28,530"
02-06-2025,100.79,101.64,100.26,101.57,"3,13,42,930"
02-05-2025,98.77,101.18,98.67,101.11,"3,99,77,330"
02-04-2025,98.05,100.8,97.85,99.49,"6,00,01,369"
02-03-2025,97.3,98.77,96.44,97.89,"3,72,41,970"
01-31-2025,97.4,99.03,97.4,97.68,"3,61,87,180"
01-30-2025,98.68,99.46,97,97.32,"3,86,78,250"
01-29-2025,98,98.76,96.82,97.82,"2,93,07,280"
01-28-2025,96.67,97.79,95.73,97.18,"3,43,39,720"
01-27-2025,97.11,98.23,96.03,97.19,"4,63,42,040"
01-24-2025,98.44,98.63,96.77,97.76,"4,55,03,970"
01-23-2025,95.78,98.5,95.39,98.49,"7,75,21,369"
01-22-2025,99.8,99.9,95.08,95.4,"14,27,32,099"
01-21-2025,86.35,91.64,85.47,86.97,"9,85,13,509"
01-17-2025,85.98,86.5,85.21,85.81,"3,61,75,650"
01-16-2025,86.1,86.9,84.2,84.24,"4,02,85,370"
01-15-2025,83.64,85.08,83.04,84.83,"3,18,13,830"
01-14-2025,84.32,84.49,82.35,82.84,"3,03,76,500"
01-13-2025,83.15,84.71,82.91,84.03,"3,02,45,170"
01-10-2025,86.64,86.64,83.44,83.77,"4,80,33,120"
01-08-2025,88,88.62,87.3,87.5,"2,34,79,490"
01-07-2025,87.94,88.8,86.91,87.92,"2,64,98,230"
01-06-2025,88.88,89.28,87.17,88.18,"3,45,76,560"
01-03-2025,89.31,89.88,87.99,88.11,"2,97,00,190"
01-02-2025,89.55,89.86,87.7,88.67,"2,31,56,850"
12-31-2024,90.18,90.27,88.95,89.13,"1,87,58,970"
12-30-2024,89.45,90.82,88.97,90.04,"2,20,29,700"
